ЮЗАО;;Академический;Академическая
;;Черемушки;Беляево
;;Гагаринский;Битцевский Парк
;;Коньково;Бульвар Дмитрия Донского
;;Котловка;Калужская
;;Ломоносовский;Каховская
;;Обручевский;Коньково
;;Северное Бутово;Ленинский Проспект
;;Теплый Стан;Нахимовский Проспект
;;Ясенево;Новые Черемушки
;;Южное Бутово;Профсоюзная
;;Зюзино;Севастопольская
;;;Теплый Стан
;;;Университет
;;;Чертановская
;;;Ясенево
;;;Бульвар адмирала Ушакова
;;;Бунинская Аллея
;;;Новоясеневская
;;;Улица Скобелевская
;;;Улица Старокачаловская
СЗАО;;Хорошево-Мневники;Волоколамская
;;Куркино;Митино
;;Митино;Мякинино
;;Покровское-Стрешнево;Октябрьское Поле
;;Щукино;Планерная
;;Северное Тушино;Сходненская
;;Строгино;Строгино
;;Южное Тушино;Тушинская
;;;Щукинская
;;;Пятницкое шоссе
;;;Спартак
ЮВАО;;Капотня;Авиамоторная
;;Кузьминки;Братиславская
;;Лефортово;Волжская
;;Люблино;Волгоградский Проспект
;;Марьино;Дубровка
;;Некрасовка;Кузьминки
;;Нижегородский;Кожуховская
;;Печатники;Люблино
;;Рязанский;Марьино
;;Текстильщики;Печатники
;;Выхино-Жулебино;Рязанский Проспект
;;Южнопортовый;Текстильщики
;;;Жулебино
;;;Котельники
;;;Котельники
;;;Лермонтовский проспект
ЮАО;;Бирюлево Восточное;Автозаводская
;;Бирюлево Западное;ул. Академика Янгеля
;;Братеево;Алма-Атинская
;;Чертаново Северное;Аннино
;;Чертаново Центральное;Варшавская
;;Чертаново Южное;Домодедовская
;;Даниловский;Кантемировская
;;Донской;Каширская
;;Москворечье-Сабурово;Каширская
;;Нагатино-Садовники;Красногвардейская
;;Нагатинский Затон;Коломенская
;;Нагорный;Нагатинская
;;Орехово-Борисово Северное;Нагорная
;;Орехово-Борисово Южное;Орехово
;;Царицыно;Пражская
;;Зябликово;Тульская
;;;Царицыно
;;;Шаболовская
;;;Южная
;;;Борисово
ЦАО;;Арбат;Александровский Сад
;;Басманный;Арбатская
;;Хамовники;Арбатская
;;Красносельский;Баррикадная
;;Мещанский;Бауманская
;;Пресненский;Белорусская
;;Таганский;Белорусская
;;Тверской;Библиотека им. Ленина
;;Якиманка;Боровицкая
;;Замоскворечье;Воробьевы Горы
;;;Добрынинская
;;;Китай-город
;;;Китай-город
;;;Комсомольская
;;;Комсомольская
;;;Красносельская
;;;Краснопресненская
;;;Красные Ворота
;;;Кропоткинская
;;;Кузнецкий Мост
;;;Курская
;;;Курская
;;;Лубянка
;;;Марксистская
;;;Маяковская
;;;Менделеевская
;;;Новокузнецкая
;;;Новослободская
;;;Октябрьская
;;;Октябрьская
;;;Охотный Ряд
;;;Павелецкая
;;;Павелецкая
;;;Парк Культуры
;;;Парк Культуры
;;;Пролетарская
;;;Проспект Мира
;;;Проспект Мира
;;;Площадь Ильича
;;;Площадь Революции
;;;Полянка
;;;Пушкинская
;;;Рижская
;;;Серпуховская
;;;Сухаревская
;;;Спортивная
;;;Таганская
;;;Таганская
;;;Театральная
;;;Тверская
;;;Третьяковская
;;;Третьяковская
;;;Тургеневская
;;;Улица 1905 года
;;;Фрунзенская
;;;Цветной Бульвар
;;;Чистые Пруды
;;;Чеховская
;;;Библиотека имени Ленина
;;;Выставочная
;;;Деловой центр
;;;Деловой центр
;;;Достоевская
;;;Крестьянская застава
;;;Международная
;;;Римская
;;;Смоленская
;;;Смоленская
;;;Сретенский бульвар
;;;Трубная
;;;Чкаловская
СВАО;;Алексеевский;Алексеевская
;;Алтуфьевский;Алтуфьево
;;Бабушкинский;Бабушкинская
;;Бибирево;Бибирево
;;Бутырский;Ботанический Сад
;;Лианозово;ВДНХ
;;Лосиноостровский;Владыкино
;;Марфино;Дмитровская
;;Марьина роща;Медведково
;;Останкинский;Отрадное
;;Отрадное;Свиблово
;;Ростокино;Савеловская
;;Северное Медведково;Марьина роща
;;Северный;Бутырская
;;Свиблово;Фонвизинская
;;Ярославский;
;;Южное Медведково;
САО;;Дмитровский;Аэропорт
;;Аэропорт;Беговая
;;Беговой;Водный Стадион
;;Бескудниковский;Войковская
;;Дмитровский;Полежаевская
;;Головинский;Петровско-Разумовская
;;Хорошевский;Речной Вокзал
;;Ховрино;Сокол
;;Коптево;Тимирязевская
;;Левобережный;Динамо
;;Молжаниновский;Ховрино
;;Савеловский;
;;Сокол;
;;Тимирязевский;
;;Войковский;
;;Восточное Дегунино;
;;Западное Дегунино;
ЗелАО;;Крюково;
;;Матушкино;
;;Савелки;
;;Силино;
;;Старое Крюково;
ЗАО;;Можайский;Багратионовская
;;Дорогомилово;Киевская
;;Филевский парк;Киевская
;;Фили-Давыдково;Киевская
;;Крылатское;Кунцевская
;;Кунцево;Кунцевская
;;Можайский;Кутузовская
;;Ново-Переделкино;Крылатское
;;Очаково-Матвеевское;Молодежная
;;Проспект Вернадского;Парк Победы
;;Раменки;Парк Победы
;;Солнцево;Пионерская
;;Тропарево-Никулино;Проспект Вернадского
;;Внуково;Студенческая
;;;Фили
;;;Филевский Парк
;;;Юго-западная
;;;Славянский бульвар
;;;Тропарёво
;;;Раменки
;;;Минская
;;;Ломоносовский проспект
ВАО;;Богородское;Выхино
;;Гольяново;Измайловская
;;Ивановское;Измайловский Парк
;;Измайлово;Новогиреево
;;Косино-Ухтомский;Первомайская
;;Метрогородок;Перово
;;Новогиреево;Преображенская Площадь
;;Новокосино;Семеновская
;;Перово;Сокольники
;;Преображенское;Улица Подбельского
