;0.2;0.3;0.4;0.5;0.6;0.7;0.8;0.9;1.0;1.1;1.2;1.3
0.3;37;42;47;52;57;62;67;72;77;82;87;92
0.4;37;42;47;52;58;63;68;73;78;83;88;94
0.5;38;43;48;53;59;64;69;74;79;85;90;95
0.6;38;43;49;54;59;65;70;75;81;86;91;96
0.7;39;44;50;55;60;66;71;76;82;87;93;98
0.8;40;45;50;56;62;67;73;78;84;90;95;101
0.9;41;46;52;58;64;70;76;82;88;94;100;106
1.0;41;47;53;60;66;73;79;86;92;99;105;112
1.1;42;48;55;62;69;76;83;89;96;103;110;117
1.2;43;49;56;64;71;78;86;93;100;108;115;122
1.3;44;50;58;66;73;81;89;97;104;112;120;128
1.4;45;51;60;68;76;84;92;100;108;117;125;133
1.5;46;52;61;70;78;87;95;104;113;121;130;138
1.6;47;54;63;72;81;90;99;108;117;126;135;144
1.7;48;55;64;73;83;92;102;111;121;130;140;149
1.8;49;56;66;75;85;95;105;115;125;135;145;154
1.9;50;57;67;77;88;98;108;119;129;139;149;160
2.0;51;58;69;79;90;101;111;122;133;144;154;165
2.1;52;59;70;81;92;104;115;126;137;148;159;170
2.2;52;60;72;83;95;106;118;129;141;153;164;176
